Name,Value,country,league_name,seasonid,seasonyear
data,USA MLS,USA,MLS,1,2016
data,USA MLS,USA,MLS,16,2015
data,USA MLS,USA,MLS,23,2014
data,USA MLS,USA,MLS,24,2013
data,USA MLS,USA,MLS,163,2017
data,USA MLS,USA,MLS,1076,2018
data,USA MLS,USA,MLS,1846,2019
data,USA MLS,USA,MLS,4227,2012
data,USA MLS,USA,MLS,4235,2011
data,USA MLS,USA,MLS,4241,2010
data,USA MLS,USA,MLS,4473,2020
data,USA MLS,USA,MLS,5674,2021
data,USA MLS,USA,MLS,6969,2022
data,USA MLS,USA,MLS,8777,2023
data,USA MLS,USA,MLS,10977,2024
data,USA MLS,USA,MLS,13973,2025
data,Scotland Premiership,Scotland,Premiership,2,20162017
data,Scotland Premiership,Scotland,Premiership,164,20172018
data,Scotland Premiership,Scotland,Premiership,167,20152016
data,Scotland Premiership,Scotland,Premiership,168,20142015
data,Scotland Premiership,Scotland,Premiership,169,20132014
data,Scotland Premiership,Scotland,Premiership,223,20122013
data,Scotland Premiership,Scotland,Premiership,1600,20182019
data,Scotland Premiership,Scotland,Premiership,2361,20192020
data,Scotland Premiership,Scotland,Premiership,4478,20202021
data,Scotland Premiership,Scotland,Premiership,5992,20212022
data,Scotland Premiership,Scotland,Premiership,7494,20222023
data,Scotland Premiership,Scotland,Premiership,9636,20232024
data,Scotland Premiership,Scotland,Premiership,12455,20242025
data,Scotland Premiership,Scotland,Premiership,15000,20252026
data,Germany Bundesliga,Germany,Bundesliga,3,20162017
data,Germany Bundesliga,Germany,Bundesliga,4,20152016
data,Germany Bundesliga,Germany,Bundesliga,5,20142015
data,Germany Bundesliga,Germany,Bundesliga,7,20132014
data,Germany Bundesliga,Germany,Bundesliga,177,20172018
data,Germany Bundesliga,Germany,Bundesliga,1636,20182019
data,Germany Bundesliga,Germany,Bundesliga,4105,20122013
data,Germany Bundesliga,Germany,Bundesliga,4123,20112012
data,Germany Bundesliga,Germany,Bundesliga,4133,20102011
data,Germany Bundesliga,Germany,Bundesliga,4140,20092010
data,Germany Bundesliga,Germany,Bundesliga,4392,20192020
data,Germany Bundesliga,Germany,Bundesliga,4624,20082009
data,Germany Bundesliga,Germany,Bundesliga,4628,20072008
